# Wight Battle (flattened HEIGHT per row)
RESET
MAP background=images/wight-battle.png grid=hex size=64 board=20x38

HEIGHT A1=0,B1=0,C1=0,D1=1,E1=1,F1=1,G1=0,H1=0,I1=0,J1=0,K1=0,L1=0,M1=0,N1=0,O1=0,P1=0,Q1=0,R1=0,S1=0,T1=0
HEIGHT A2=0,B2=1,C2=1,D2=2,E2=2,F2=1,G2=1,H2=1,I2=1,J2=0,K2=0,L2=1,M2=1,N2=1,O2=1,P2=0,Q2=0,R2=1,S2=1,T2=1
HEIGHT A3=1,B3=2,C3=2,D3=3,E3=2,F3=1,G3=2,H3=2,I3=2,J3=1,K3=0,L3=1,M3=2,N3=2,O3=1,P3=1,Q3=0,R3=2,S3=2,T3=2
HEIGHT A4=1,B4=2,C4=3,D4=3,E4=1,F4=0,G4=2,H4=3,I4=3,J4=2,K4=1,L4=2,M4=3,N4=3,O4=2,P4=1,Q4=1,R4=2,S4=3,T4=3
HEIGHT A5=1,B5=1,C5=2,D5=2,E5=1,F5=0,G5=1,H5=3,I5=2,J5=1,K5=1,L5=2,M5=3,N5=2,O5=1,P5=1,Q5=1,R5=1,S5=3,T5=3
HEIGHT A6=1,B6=1,C6=2,D6=1,E6=1,F6=0,G6=0,H6=2,I6=1,J6=1,K6=0,L6=1,M6=2,N6=2,O6=1,P6=1,Q6=0,R6=0,S6=2,T6=2
HEIGHT A7=0,B7=0,C7=1,D7=1,E7=1,F7=1,G7=0,H7=1,I7=1,J7=0,K7=0,L7=0,M7=1,N7=1,O7=0,P7=0,Q7=0,R7=1,S7=2,T7=1
HEIGHT A8=0,B8=0,C8=0,D8=1,E8=0,F8=2,G8=1,H8=1,I8=1,J8=0,K8=0,L8=1,M8=1,N8=1,O8=0,P8=0,Q8=1,R8=2,S8=3,T8=1
HEIGHT A9=0,B9=0,C9=1,D9=2,E9=0,F9=1,G9=2,H9=2,I9=2,J9=1,K9=1,L9=2,M9=2,N9=1,O9=1,P9=1,Q9=2,R9=3,S9=3,T9=1
HEIGHT A10=0,B10=1,C10=2,D10=3,E10=1,F10=0,G10=3,H10=3,I10=2,J10=1,K10=2,L10=3,M10=3,N10=2,O10=1,P10=2,Q10=2,R10=3,S10=3,T10=2
HEIGHT A11=1,B11=2,C11=3,D11=3,E11=1,F11=0,G11=3,H11=3,I11=2,J11=1,K11=3,L11=3,M11=3,N11=2,O11=1,P11=2,Q11=1,R11=2,S11=3,T11=3
HEIGHT A12=1,B12=2,C12=2,D12=2,E12=1,F12=1,G12=2,H12=2,I12=1,J12=0,K12=2,L12=2,M12=2,N12=1,O12=0,P12=1,Q12=1,R12=2,S12=2,T12=2
